,ISO_A3,ai_blds_2024,blds_total,ai_percentage,ai_per_roun,non_ai_blds_2024,total_OSM_users,avg_OSM_users_month,pop_2022,hdi_2021,disaster_death_per_100k,disaster_death,hdi_2021_norm,disaster_death_per_100k_norm,avg_OSM_users_month_norm
73,SVK,763.0,2504329.0,0.030467242922155996,0.03,2503566.0,6052.0,302.6,5431752.0,0.848,6.774977945,368.0,0.8827655897938813,0.07349812129784962,0.09089274872072005
74,POL,861.0,17194921.0,0.005007292560401993,0.005,17194060.0,31835.0,1591.75,36821749.0,0.876,2.145471145,790.0,1.0400465182198049,-0.19723883650055632,2.184306881606257
75,IRL,441.0,2368391.0,0.018620236270109117,0.019,2367950.0,4453.0,222.65,5127170.0,0.945,0.565614169,29.0,1.427631663269402,-0.2896300327806502,-0.0389357894045553
76,GRC,149216.0,1135568.0,13.140208248207063,13.14,986352.0,6569.0,328.45,10426919.0,0.887,31.18850353,3252.0,1.101835454387132,1.501219027986322,0.13286983077873585
77,ZMB,163473.0,5339146.0,3.0617817905710014,3.062,5175673.0,5865.0,293.25,20017675.0,0.565,0.059947022,12.0,-0.7068952225109884,-0.31920181892369665,0.07570954882739513
78,SLE,426.0,649664.0,0.0655723574032115,0.066,649238.0,841.0,42.05,8605718.0,0.477,0.395086151,34.0,-1.2012067118496048,-0.2996026365173402,-0.3322070087344455
79,GIN,669.0,1683935.0,0.03972837431373539,0.04,1683266.0,1444.0,72.2,13859341.0,0.465,0.101014904,14.0,-1.2686128240321433,-0.3168001390220916,-0.2832472785971466
80,LBR,15962.0,725374.0,2.2005200076098674,2.201,709412.0,474.0,23.7,5302681.0,0.481,1.338945337,71.0,-1.1787380077887586,-0.2444050581040803,-0.36200505344487455
81,CAF,382.0,775221.0,0.04927627089565427,0.049,774839.0,626.0,31.3,5579144.0,0.404,1.25467276,70.0,-1.6112605609600479,-0.24933338030090957,-0.34966362893265324
82,SDN,100871.0,1151810.0,8.757607591529853,8.758,1050939.0,2743.0,137.15,46874204.0,0.508,1.35895641,637.0,-1.0270742553780465,-0.24323479585793742,-0.17777681516704485
83,DJI,0.0,139881.0,0.0,0.0,139881.0,194.0,9.7,1120849.0,0.509,1.87357976,21.0,-1.021457079362835,-0.21313924438558093,-0.3847392564937033
84,ERI,453.0,40056.0,1.1309167165967646,1.131,39603.0,249.0,12.45,3684032.0,0.492,0.0,0.0,-1.1169490716214314,-0.3227075647982581,-0.38027360946625477
85,AUT,16.0,4184342.0,0.00038237792226352433,0.0,4184326.0,20232.0,1011.6,9041851.0,0.916,4.866260238,440.0,1.2647335588282673,-0.03812509206240059,1.2422177459792592
86,IRQ,1413.0,425264.0,0.3322641935362504,0.332,423851.0,10651.0,532.55,44496122.0,0.686,0.132595825,59.0,-0.027216924670389813,-0.31495326356745096,0.46430203379773133
87,ITA,101223.0,14599222.0,0.6933451659273351,0.693,14497999.0,40024.0,2001.2,58940425.0,0.895,30.72763727,18111.0,1.1467728625088245,1.4742672306189806,2.849201127202179
88,CHE,76.0,2665245.0,0.0028515202167155368,0.003,2665169.0,17849.0,892.45,8775760.0,0.962,3.726173004,327.0,1.5231236555279983,-0.10479823084209938,1.0487334393172634
89,IRN,285.0,531437.0,0.053628181703569755,0.054,531152.0,9538.0,476.9,88550570.0,0.774,0.320720691,284.0,0.4670945646682267,-0.30395158323574206,0.37393357667863725
90,LIE,0.0,17229.0,0.0,0.0,17229.0,360.0,18.0,39327.0,0.935,0.0,0.0,1.371459903117287,-0.3227075647982581,-0.37126112182904053
91,CIV,807.0,899851.0,0.08968151393952999,0.09,899044.0,1380.0,69.0,28160542.0,0.55,0.245023693,69.0,-0.7911528627391611,-0.30837839927433,-0.2884436678654503
