country_iso_a3,year,month,n_users
CAN,2023,4,952
CAN,2023,5,975
CAN,2023,6,973
CAN,2023,7,1111
CAN,2023,8,826
CHE,2022,1,839
CHE,2022,2,758
CHE,2022,3,847
CHE,2022,4,856
CHE,2022,5,890
CHE,2022,6,890
CHE,2022,7,964
CHE,2022,8,1043
CHE,2022,9,898
CHE,2022,10,995
CHE,2022,11,829
CHE,2022,12,796
CHE,2023,1,935
CHE,2023,2,819
CHE,2023,3,910
CHE,2023,4,883
CHE,2023,5,935
CHE,2023,6,932
CHE,2023,7,1034
CHE,2023,8,796
CHL,2022,1,240
CHL,2022,2,199
CHL,2022,3,203
CHL,2022,4,167
CHL,2022,5,190
CHL,2022,6,179
CHL,2022,7,167
CHL,2022,8,161
CHL,2022,9,170
CHL,2022,10,218
CHL,2022,11,208
CHL,2022,12,223
CHL,2023,1,229
CHL,2023,2,228
CHL,2023,3,203
CHL,2023,4,188
CHL,2023,5,222
CHL,2023,6,205
CHL,2023,7,207
CHL,2023,8,154
CHN,2022,1,683
CHN,2022,2,638
CHN,2022,3,701
CHN,2022,4,794
CHN,2022,5,681
CHN,2022,6,619
CHN,2022,7,633
CHN,2022,8,684
CHN,2022,9,681
CHN,2022,10,621
CHN,2022,11,526
CHN,2022,12,567
CHN,2023,1,521
CHN,2023,2,579
CHN,2023,3,626
CHN,2023,4,578
CHN,2023,5,552
CHN,2023,6,558
CHN,2023,7,647
CHN,2023,8,471
CIV,2022,1,55
CIV,2022,2,46
CIV,2022,3,40
CIV,2022,4,40
CIV,2022,5,94
CIV,2022,6,64
CIV,2022,7,48
CIV,2022,8,50
CIV,2022,9,57
CIV,2022,10,68
CIV,2022,11,96
CIV,2022,12,66
CIV,2023,1,72
CIV,2023,2,78
CIV,2023,3,92
CIV,2023,4,72
CIV,2023,5,75
CIV,2023,6,110
CIV,2023,7,68
CIV,2023,8,89
CMR,2022,1,157
CMR,2022,2,60
CMR,2022,3,66
CMR,2022,4,56
CMR,2022,5,109
CMR,2022,6,70
CMR,2022,7,53
CMR,2022,8,75
CMR,2022,9,63
CMR,2022,10,72
CMR,2022,11,195
CMR,2022,12,70
CMR,2023,1,82
CMR,2023,2,50
CMR,2023,3,114
CMR,2023,4,66
CMR,2023,5,76
CMR,2023,6,96
CMR,2023,7,61
CMR,2023,8,35
COD,2022,1,252
COD,2022,2,324
COD,2022,3,382
COD,2022,4,131
COD,2022,5,180
COD,2022,6,229
