country_iso_a3,source_microsoft,creation_year,all_ways,modified_ways,modified_ways_share,avg_n_contributions
AUS,1,2023-01-01 00:00:00+00,68772,8326,0.12106671319723143,1.1285406851625661
AUS,1,2024-01-01 00:00:00+00,8534,293,0.03433325521443637,1.0698382938832904
AUT,0,2018-01-01 00:00:00+00,326650,135503,0.41482626664625744,1.5915138527475892
AUT,0,2019-01-01 00:00:00+00,179417,62346,0.34749215514694815,1.4887886878055034
AUT,0,2020-01-01 00:00:00+00,129897,39141,0.3013233561976027,1.445460634194785
AUT,0,2021-01-01 00:00:00+00,104696,23102,0.220657904791014,1.3386948880568503
AUT,0,2022-01-01 00:00:00+00,54075,7799,0.14422561257512714,1.207193712436431
AUT,0,2023-01-01 00:00:00+00,61048,8965,0.14685165771196435,1.2798617481326169
AUT,0,2024-01-01 00:00:00+00,18270,1410,0.07717569786535304,1.2762452107279694
AUT,1,2022-01-01 00:00:00+00,8,3,0.375,1.375
AUT,1,2023-01-01 00:00:00+00,11,0,0.0,1.0
AUT,1,2024-01-01 00:00:00+00,154,10,0.06493506493506493,1.0714285714285714
AZE,0,2018-01-01 00:00:00+00,12205,5019,0.41122490782466203,1.5866448176976649
AZE,0,2019-01-01 00:00:00+00,9844,4517,0.4588581877285656,1.7195245835026411
AZE,0,2020-01-01 00:00:00+00,7836,2706,0.3453292496171516,1.5019142419601839
AZE,0,2021-01-01 00:00:00+00,9012,4356,0.4833555259653795,2.016311584553928
AZE,0,2022-01-01 00:00:00+00,11330,2857,0.25216240070609003,1.3014121800529568
AZE,0,2023-01-01 00:00:00+00,14728,1266,0.08595871808799566,1.096414991852254
AZE,0,2024-01-01 00:00:00+00,2119,96,0.045304388862671074,1.045304388862671
AZE,1,2022-01-01 00:00:00+00,50,50,1.0,2.0
AZE,1,2024-01-01 00:00:00+00,50,0,0.0,1.0
BDI,0,2018-01-01 00:00:00+00,24753,14082,0.5689007393043267,1.6707469801640205
BDI,0,2019-01-01 00:00:00+00,99817,34053,0.34115431239167676,1.4117835639219771
BDI,0,2020-01-01 00:00:00+00,190967,42822,0.2242376955180738,1.269947163646075
BDI,0,2021-01-01 00:00:00+00,208636,75863,0.3636141413754098,1.4471088402768457
BDI,0,2022-01-01 00:00:00+00,116212,21303,0.18331153409286477,1.221285237324889
BDI,0,2023-01-01 00:00:00+00,3263,39,0.01195219123505976,1.0122586576769843
BDI,0,2024-01-01 00:00:00+00,3214,79,0.024579962663347853,1.0248911014312383
BDI,1,2021-01-01 00:00:00+00,17,0,0.0,1.0
BDI,1,2022-01-01 00:00:00+00,1500,2,0.0013333333333333333,1.0013333333333334
BDI,1,2024-01-01 00:00:00+00,1771,0,0.0,1.0
BEL,0,2018-01-01 00:00:00+00,351051,141909,0.40424040951314766,1.6137797641938065
BEL,0,2019-01-01 00:00:00+00,620019,156635,0.2526293549068658,1.3493247787567801
BEL,0,2020-01-01 00:00:00+00,910996,157199,0.17255728894528627,1.2090909290490848
BEL,0,2021-01-01 00:00:00+00,639893,117224,0.1831931276010208,1.2319684697285327
BEL,0,2022-01-01 00:00:00+00,719766,110998,0.1542140084416324,1.1876095842259846
BEL,0,2023-01-01 00:00:00+00,654930,60046,0.09168308063457163,1.102349869451697
BEL,0,2024-01-01 00:00:00+00,136995,6400,0.04671703346837476,1.0502427095879412
BEL,1,2023-01-01 00:00:00+00,24,3,0.125,1.125
BEL,1,2024-01-01 00:00:00+00,235,0,0.0,1.0
BEN,0,2018-01-01 00:00:00+00,104545,13311,0.1273231622746186,1.1405901764790283
BEN,0,2019-01-01 00:00:00+00,78343,20122,0.2568448999910649,1.2896110692723026
BEN,0,2020-01-01 00:00:00+00,95011,7523,0.07918030543831767,1.0834745450526782
BEN,0,2021-01-01 00:00:00+00,65949,3687,0.05590683710139653,1.065262551365449
BEN,0,2022-01-01 00:00:00+00,65890,6043,0.09171346183032326,1.107816057064805
BEN,0,2023-01-01 00:00:00+00,53504,4057,0.07582610645933015,1.0820125598086126
BEN,0,2024-01-01 00:00:00+00,15809,45,0.00284647985324815,1.002909734961098
BEN,1,2022-01-01 00:00:00+00,439,4,0.009111617312072893,1.0091116173120729
BEN,1,2023-01-01 00:00:00+00,1383,0,0.0,1.0
BEN,1,2024-01-01 00:00:00+00,4,0,0.0,1.0
BFA,0,2018-01-01 00:00:00+00,93758,15170,0.16179952644041043,1.209123488129013
BFA,0,2019-01-01 00:00:00+00,131741,63018,0.4783476670133064,1.7132100105510053
BFA,0,2020-01-01 00:00:00+00,135705,36253,0.26714564680741315,1.3384031539000036
BFA,0,2021-01-01 00:00:00+00,113088,20088,0.17763157894736842,1.1935926004527448
BFA,0,2022-01-01 00:00:00+00,62596,9414,0.15039299635759473,1.1687967282254457
BFA,0,2023-01-01 00:00:00+00,66383,3341,0.05032915053552867,1.054110239067231
BFA,0,2024-01-01 00:00:00+00,5231,27,0.005161536991015102,1.0051615369910152
BFA,1,2022-01-01 00:00:00+00,1101,176,0.15985467756584923,1.1834695731153497
BFA,1,2023-01-01 00:00:00+00,16,0,0.0,1.0
BFA,1,2024-01-01 00:00:00+00,151,0,0.0,1.0
BGD,0,2018-01-01 00:00:00+00,4230412,955584,0.22588438194672292,1.2854469020984245
BGD,0,2019-01-01 00:00:00+00,1400097,114757,0.08196360680724264,1.0877124942057586
BGD,0,2020-01-01 00:00:00+00,191570,34113,0.17807067912512398,1.2035548363522472
BGD,0,2021-01-01 00:00:00+00,1077131,132320,0.12284485359719477,1.1362545502821848
BGD,0,2022-01-01 00:00:00+00,1194317,193882,0.16233713494825913,1.1891306914328441
BGD,0,2023-01-01 00:00:00+00,171220,11987,0.07000934470272165,1.0752657399836467
BGD,0,2024-01-01 00:00:00+00,88883,1501,0.016887368788182217,1.0174161538201907
BGD,1,2022-01-01 00:00:00+00,37449,281,0.00750353814521082,1.0082245186787364
BGD,1,2023-01-01 00:00:00+00,34006,379,0.01114509204258072,1.011174498617891
BGD,1,2024-01-01 00:00:00+00,25566,5,0.00019557224438707658,1.0002346866932645
BGR,0,2018-01-01 00:00:00+00,31544,8776,0.2782145574435709,1.419002028911996
BGR,0,2019-01-01 00:00:00+00,30778,13394,0.43518097342257456,1.6580674507765287
BGR,0,2020-01-01 00:00:00+00,17989,6919,0.3846239368502974,1.7171604869642558
BGR,0,2021-01-01 00:00:00+00,36165,11314,0.31284390985759714,1.4307479607355178
BGR,0,2022-01-01 00:00:00+00,53907,7225,0.13402712078208767,1.196950303300128
BGR,0,2023-01-01 00:00:00+00,69575,4899,0.07041322314049586,1.0903197987782969
BGR,0,2024-01-01 00:00:00+00,10770,409,0.03797585886722377,1.0481894150417828
BGR,1,2022-01-01 00:00:00+00,20240,1182,0.05839920948616601,1.0686264822134388
BGR,1,2023-01-01 00:00:00+00,37022,950,0.025660418129760682,1.0274161309491654
BGR,1,2024-01-01 00:00:00+00,1061,13,0.012252591894439209,1.0122525918944392
BHR,0,2018-01-01 00:00:00+00,889,362,0.40719910011248595,1.6141732283464567
BHR,0,2019-01-01 00:00:00+00,1190,114,0.0957983193277311,1.13109243697479
BHR,0,2020-01-01 00:00:00+00,4080,653,0.16004901960784312,1.1946078431372549
BHR,0,2021-01-01 00:00:00+00,515,133,0.258252427184466,1.3495145631067962
BHR,0,2022-01-01 00:00:00+00,435,17,0.03908045977011494,1.0574712643678161
BHR,0,2023-01-01 00:00:00+00,6296,142,0.02255400254129606,1.023189326556544
BHR,0,2024-01-01 00:00:00+00,5605,203,0.03621766280107047,1.0372881355932204
BHR,1,2022-01-01 00:00:00+00,100,0,0.0,1.0
BHR,1,2024-01-01 00:00:00+00,13,0,0.0,1.0
BHS,0,2018-01-01 00:00:00+00,2039,859,0.42128494359980384,1.5635115252574792
BHS,0,2019-01-01 00:00:00+00,35977,19099,0.5308669427689913,1.7213219556939157
BHS,0,2020-01-01 00:00:00+00,11983,1002,0.08361845948426938,1.1015605441041476
BHS,0,2021-01-01 00:00:00+00,11597,484,0.04173493144778822,1.050530309562818
BHS,0,2022-01-01 00:00:00+00,1445,123,0.08512110726643599,1.1003460207612457
BHS,0,2023-01-01 00:00:00+00,4397,208,0.047304980668637704,1.0502615419604275
BHS,0,2024-01-01 00:00:00+00,78,4,0.05128205128205128,1.0897435897435896
BHS,1,2023-01-01 00:00:00+00,7,0,0.0,1.0
BIH,0,2018-01-01 00:00:00+00,24885,13372,0.5373518183644765,1.7714285714285714
BIH,0,2019-01-01 00:00:00+00,34747,13344,0.38403315394134746,1.5414280369528304
BIH,0,2020-01-01 00:00:00+00,212123,29094,0.1371562725399886,1.1703681354685724
BIH,0,2021-01-01 00:00:00+00,224696,18454,0.08212874283476342,1.1044967422651049
BIH,0,2022-01-01 00:00:00+00,120575,4364,0.036193240721542605,1.040422973253162
BIH,0,2023-01-01 00:00:00+00,163960,2426,0.014796291778482558,1.016534520614784
BIH,0,2024-01-01 00:00:00+00,29852,94,0.0031488677475546025,1.0032158649336729
BIH,1,2023-01-01 00:00:00+00,967,429,0.4436401240951396,1.485005170630817
BIH,1,2024-01-01 00:00:00+00,13,0,0.0,1.0
BLR,0,2018-01-01 00:00:00+00,262489,78182,0.297848671753864,1.5585415007866996
BLR,0,2019-01-01 00:00:00+00,207646,63845,0.3074704063646784,1.5773431705884053
BLR,0,2020-01-01 00:00:00+00,275913,61844,0.22414311757691735,1.4337816630604574
BLR,0,2021-01-01 00:00:00+00,216884,40124,0.18500212094944762,1.3179764297965733
BLR,0,2022-01-01 00:00:00+00,81765,25123,0.3072586069834281,1.5617073319880144
BLR,0,2023-01-01 00:00:00+00,95588,11248,0.11767167426873666,1.1679604134410178
BLR,0,2024-01-01 00:00:00+00,30413,889,0.02923092098773551,1.0339986190116068
BLR,1,2022-01-01 00:00:00+00,5240,1138,0.21717557251908398,1.299236641221374
BLR,1,2023-01-01 00:00:00+00,17505,617,0.035247072265067125,1.035589831476721
BLR,1,2024-01-01 00:00:00+00,642,29,0.045171339563862926,1.0451713395638629
BLZ,0,2018-01-01 00:00:00+00,6822,4122,0.604221635883905,1.9406332453825859
BLZ,0,2019-01-01 00:00:00+00,11349,4796,0.42259229888095867,1.5427790994801305
BLZ,0,2020-01-01 00:00:00+00,54972,32123,0.5843520337626428,1.700865895364913
BLZ,0,2021-01-01 00:00:00+00,31470,10929,0.3472831267874166,1.4002224340641882
BLZ,0,2022-01-01 00:00:00+00,13877,1156,0.08330330763133242,1.0871225769258486
BLZ,0,2023-01-01 00:00:00+00,9521,371,0.038966495116059235,1.0410671147988657
BLZ,0,2024-01-01 00:00:00+00,1334,64,0.047976011994003,1.050974512743628
BMU,0,2018-01-01 00:00:00+00,418,72,0.1722488038277512,1.263157894736842
BMU,0,2019-01-01 00:00:00+00,2022,272,0.13452027695351138,1.1602373887240356
BMU,0,2020-01-01 00:00:00+00,575,81,0.1408695652173913,1.1930434782608696
BMU,0,2021-01-01 00:00:00+00,13323,867,0.06507543346093222,1.0870674772949036
BMU,0,2022-01-01 00:00:00+00,45,21,0.4666666666666667,1.6
BMU,0,2023-01-01 00:00:00+00,232,52,0.22413793103448276,1.396551724137931
BOL,0,2018-01-01 00:00:00+00,140316,72982,0.5201260013113259,1.7198109980330112
BOL,0,2019-01-01 00:00:00+00,44355,14580,0.32871153195806563,1.6270093563296133
BOL,0,2020-01-01 00:00:00+00,28719,7534,0.26233503952087467,1.3489327622828093
BOL,0,2021-01-01 00:00:00+00,19091,3005,0.1574040123618459,1.2422607511392803
BOL,0,2022-01-01 00:00:00+00,14629,2343,0.16016132339872854,1.2352860756032538
BOL,0,2023-01-01 00:00:00+00,8130,608,0.07478474784747847,1.1119311193111932
BOL,0,2024-01-01 00:00:00+00,12878,70,0.005435626650100948,1.0056685820779625
BOL,1,2021-01-01 00:00:00+00,1454,3,0.0020632737276478678,1.0020632737276478
BOL,1,2022-01-01 00:00:00+00,6614,201,0.030390081644995463,1.0350771091623827
BOL,1,2023-01-01 00:00:00+00,64915,458,0.007055380112454749,1.0072094277131634
BOL,1,2024-01-01 00:00:00+00,4727,46,0.009731330653691559,1.0097313306536915
BRA,0,2018-01-01 00:00:00+00,1591792,192792,0.1211163267562596,1.1606616944927477
BRA,0,2019-01-01 00:00:00+00,1221045,161781,0.1324938884316303,1.2102363139769623
BRA,0,2020-01-01 00:00:00+00,646146,78648,0.12171862086896769,1.167705131657551
BRA,0,2021-01-01 00:00:00+00,1135108,189504,0.1669479908519718,1.21437431504315
BRA,0,2022-01-01 00:00:00+00,1140807,296244,0.2596793322621618,1.3187752178939995
BRA,0,2023-01-01 00:00:00+00,1059781,226502,0.2137252885265918,1.2625306549183275
BRA,0,2024-01-01 00:00:00+00,156621,9720,0.06206064320876511,1.0673664451127243
BRA,1,2022-01-01 00:00:00+00,151638,5233,0.03450981943839935,1.038077526741318
BRA,1,2023-01-01 00:00:00+00,131634,17521,0.1331039093243387,1.1449929349560144
BRA,1,2024-01-01 00:00:00+00,10200,99,0.009705882352941177,1.0137254901960784
BRB,0,2018-01-01 00:00:00+00,889,852,0.9583802024746907,2.4746906636670416
BRB,0,2019-01-01 00:00:00+00,681,591,0.8678414096916299,2.500734214390602
BRB,0,2020-01-01 00:00:00+00,43015,31587,0.734325235383006,1.9383470882250378
BRB,0,2021-01-01 00:00:00+00,110290,48662,0.4412186054946051,1.5276997007888296
BRB,0,2022-01-01 00:00:00+00,609,39,0.06403940886699508,1.0788177339901477
BRB,0,2023-01-01 00:00:00+00,192,2,0.010416666666666666,1.015625
BRB,0,2024-01-01 00:00:00+00,8,0,0.0,1.0
BRB,1,2022-01-01 00:00:00+00,17,2,0.11764705882352941,1.1176470588235294
BRB,1,2023-01-01 00:00:00+00,2,0,0.0,1.0
BRN,0,2018-01-01 00:00:00+00,1473,258,0.17515274949083504,1.2063815342837747
BRN,0,2019-01-01 00:00:00+00,2006,394,0.19641076769690927,1.2572283150548356
BRN,0,2020-01-01 00:00:00+00,3401,682,0.20052925610114672,1.223463687150838
BRN,0,2021-01-01 00:00:00+00,11061,1770,0.16002169785733658,1.2054063827863666
BRN,0,2022-01-01 00:00:00+00,8287,851,0.10269096174731507,1.1082418245444672
BRN,0,2023-01-01 00:00:00+00,3411,104,0.03048959249486954,1.0366461448255644
BRN,0,2024-01-01 00:00:00+00,590,10,0.01694915254237288,1.0169491525423728
BRN,1,2022-01-01 00:00:00+00,143,20,0.13986013986013987,1.1398601398601398
BRN,1,2023-01-01 00:00:00+00,8,0,0.0,1.0
BRN,1,2024-01-01 00:00:00+00,36,0,0.0,1.0
BTN,0,2018-01-01 00:00:00+00,1057,667,0.631031220435194,1.8249763481551562
BTN,0,2019-01-01 00:00:00+00,1677,977,0.5825879546809779,1.9171138938580798
BTN,0,2020-01-01 00:00:00+00,3279,1852,0.5648063433973772,1.8359255870692284
